"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-02-09,19,0,21.65,77.5,0.9,0
2016-02-09,20,0,21.2,80,1.1,0
2016-02-09,21,0,20.05,88.5,0.65,0.4
2016-02-09,22,0,18.75,93,1.1,0
2016-02-09,23,0,18.45,95,0,0.2
2016-02-10,0,0,18.25,96.5,0,0
2016-02-10,1,0,18,96.5,0,3
2016-02-10,2,0,17.2,93.5,0.4,0
2016-02-10,3,0,16.45,94,0.2,0.2
2016-02-10,4,0,16.4,94,0.2,0
2016-02-10,5,0,16.3,96.5,0.2,0
2016-02-10,6,4,16.5,98,0.2,0
2016-02-10,7,112.5,17.95,94.5,0,0
2016-02-10,8,134,17.4,98,0.85,0
2016-02-10,9,379.5,20.05,88.5,0.4,0
2016-02-10,10,494.5,22.2,79,1.1,0
2016-02-10,11,898,24.55,67.5,1.1,0
2016-02-10,12,979.5,26.5,62.5,2,0
2016-02-10,13,923,26.7,60,2.9,0
2016-02-10,14,383,25.55,64,2.9,0
2016-02-10,15,587,27.05,56,2.65,0
2016-02-10,16,221.5,25.35,63,3.6,0
2016-02-10,17,123,23.55,71.5,3.6,0
2016-02-10,18,7.5,21.9,79,3.15,0
2016-02-10,19,0,21,83,3.15,0
2016-02-10,20,0,20.7,85,0.65,0
2016-02-10,21,0,20.35,87.5,0.4,0
2016-02-10,22,0,20.15,86.5,0.65,0
2016-02-10,23,0,20.05,86,0.2,0
2016-02-11,0,0,19.5,88,0,0
2016-02-11,1,0,18.75,93.5,0,0
2016-02-11,2,0,18.2,96,0,0
2016-02-11,3,0,17.85,97,0,0
2016-02-11,4,0,17.8,97.5,0.2,0
2016-02-11,5,0,17.4,97.5,0,0
2016-02-11,6,5.5,17.25,97.5,0.2,0
2016-02-11,7,120,18.05,98,0.65,0
2016-02-11,8,287.5,20.4,88,0.2,0
2016-02-11,9,210,20.95,83.5,0.65,0
2016-02-11,10,506,23.5,73.5,0.65,0
2016-02-11,11,877,26.1,61.5,1.3,0
2016-02-11,12,911.5,26.6,55.5,2.25,0
2016-02-11,13,757.5,27.15,52.5,2.2,0
2016-02-11,14,798,27.6,50,3.55,0
2016-02-11,15,646.5,27.15,53,4.25,0
2016-02-11,16,438,25.4,57.5,5.85,0
2016-02-11,17,54.5,23.2,60,3.6,0
2016-02-11,18,4,21.6,69.5,1.8,0
2016-02-11,19,0,20.5,78.5,1.55,0
2016-02-11,20,0,20.1,81.5,1.1,0
2016-02-11,21,0,18.95,88.5,0,0
2016-02-11,22,0,17.95,93,0,0
2016-02-11,23,0,17.55,94.5,0,0
2016-02-12,0,0,17.45,95,0,0
2016-02-12,1,0,17.7,94,0,0
2016-02-12,2,0,17.65,94,0,0
2016-02-12,3,0,17.2,94,0,0
2016-02-12,4,0,16.8,94.5,0,0
2016-02-12,5,0,16.25,95,0,0
